Thread 1: 13:20:57.645333300, Counter: 197
Thread 3: 13:20:57.661955700, Counter: 197
Thread 2: 13:20:57.761690800, Counter: 197
Thread 1: 13:20:57.911307900, Counter: 198
Thread 1: 13:20:58.177274100, Counter: 199
Thread 2: 13:20:58.277001400, Counter: 199
Thread 1: 13:20:58.434269400, Counter: 200
Thread 3: 13:20:58.676126, Counter: 200
Thread 1: 13:20:58.691766700, Counter: 201
Thread 2: 13:20:58.785509500, Counter: 201
Thread 1: 13:20:58.945134500, Counter: 202
Thread 1: 13:20:59.202640200, Counter: 203
Thread 2: 13:20:59.296437400, Counter: 203
Thread 1: 13:20:59.453956, Counter: 204
Thread 3: 13:20:59.688378800, Counter: 204
Thread 1: 13:20:59.719561600, Counter: 205
Thread 2: 13:20:59.805997100, Counter: 205
Thread 1: 13:20:59.977924200, Counter: 206
Thread 1: 13:21:00.236829800, Counter: 207
Thread 2: 13:21:00.312568700, Counter: 207
Thread 1: 13:21:00.495026100, Counter: 208
Thread 3: 13:21:00.703859300, Counter: 208
Thread 1: 13:21:00.753721400, Counter: 209
Thread 2: 13:21:00.820199800, Counter: 209
Thread 1: 13:21:01.019702400, Counter: 210
Thread 1: 13:21:01.285647200, Counter: 211
Thread 2: 13:21:01.335332, Counter: 211
Thread 1: 13:21:01.551593700, Counter: 212
Thread 3: 13:21:01.717826200, Counter: 212
Thread 1: 13:21:01.817553400, Counter: 213
Thread 2: 13:21:01.850809300, Counter: 213
Thread 1: 13:21:02.083507, Counter: 214
Thread 1: 13:21:02.349456900, Counter: 215
Thread 2: 13:21:02.366071900, Counter: 215
Thread 1: 13:21:02.615327400, Counter: 216
Thread 3: 13:21:02.731789300, Counter: 216
Thread 1: 13:21:02.881594, Counter: 217
Thread 2: 13:21:02.882610, Counter: 217
Thread 1: 13:21:03.147340600, Counter: 218
Thread 2: 13:21:03.396671700, Counter: 218
Thread 1: 13:21:03.413303800, Counter: 219
Thread 1: 13:21:03.670666, Counter: 220
Thread 3: 13:21:03.745299100, Counter: 220
Thread 2: 13:21:03.906443100, Counter: 220
Thread 1: 13:21:03.922441800, Counter: 221
Thread 1: 13:21:04.177918400, Counter: 222
Thread 2: 13:21:04.410625400, Counter: 222
Thread 1: 13:21:04.443865200, Counter: 223
Thread 1: 13:21:04.709486500, Counter: 224
Thread 3: 13:21:04.759096900, Counter: 224
Thread 2: 13:21:04.925935600, Counter: 224
Thread 1: 13:21:04.975788900, Counter: 225
Thread 1: 13:21:05.241746300, Counter: 226
Thread 2: 13:21:05.441217300, Counter: 226
Thread 1: 13:21:05.507680100, Counter: 227
Thread 1: 13:21:05.773752100, Counter: 228
Thread 3: 13:21:05.774633300, Counter: 227
Thread 2: 13:21:05.956512300, Counter: 228
Thread 1: 13:21:06.039620, Counter: 229
Thread 1: 13:21:06.305580300, Counter: 230
Thread 2: 13:21:06.471804100, Counter: 230
Thread 1: 13:21:06.571537100, Counter: 231
Thread 3: 13:21:06.787633, Counter: 231
Thread 1: 13:21:06.837495800, Counter: 232
Thread 2: 13:21:06.987100, Counter: 232
Thread 1: 13:21:07.094822500, Counter: 233
Thread 1: 13:21:07.351543400, Counter: 234
Thread 2: 13:21:07.488806300, Counter: 234
Thread 1: 13:21:07.603401900, Counter: 235
Thread 3: 13:21:07.801594, Counter: 235
Thread 1: 13:21:07.868107700, Counter: 236
Thread 2: 13:21:08.001058300, Counter: 236
Thread 1: 13:21:08.134028200, Counter: 237
Thread 1: 13:21:08.399807800, Counter: 238
Thread 2: 13:21:08.516351100, Counter: 238
Thread 1: 13:21:08.665952700, Counter: 239
Thread 3: 13:21:08.815552700, Counter: 239
Thread 1: 13:21:08.931890900, Counter: 240
Thread 2: 13:21:09.031653, Counter: 240
Thread 3: 13:21:09.829518300, Counter: 240
